categoria,subcategoria,variable,unidad,anio,valor
COMBUSTIBLES,CONSUMO,CEM GAS OIL,[Kcal/KWh],2012,1906.009353066066
COMBUSTIBLES,CONSUMO,CEM GAS OIL,[Kcal/KWh],2013,1862.7449805905123
COMBUSTIBLES,CONSUMO,CEM GAS OIL,[Kcal/KWh],2014,1830.1922365395885
COMBUSTIBLES,CONSUMO,CEM GAS OIL,[Kcal/KWh],2015,1982.4727247573514
COMBUSTIBLES,CONSUMO,CEM GAS OIL,[Kcal/KWh],2016,2006.1513397890153
COMBUSTIBLES,CONSUMO,CEM GAS OIL,[Kcal/KWh],2017,1980.5154645007294
COMBUSTIBLES,CONSUMO,CEM GAS OIL,[Kcal/KWh],2018,1969.6596531202601
COMBUSTIBLES,CONSUMO,CEM GAS OIL,[Kcal/KWh],2019,2112.749763485367
COMBUSTIBLES,CONSUMO,CEM GAS OIL,[Kcal/KWh],2020,1940.3653742809247
COMBUSTIBLES,CONSUMO,CEM GAS OIL,[Kcal/KWh],2021,1903.0220428362989
COMBUSTIBLES,CONSUMO,CEM GAS OIL,[Kcal/KWh],2022,1887.5719542403135
COMBUSTIBLES,CONSUMO,CEM GAS OIL,[Kcal/KWh],2023,1930.5481059122228
COMBUSTIBLES,CONSUMO,CEM GAS OIL,[Kcal/KWh],2024,1899.5378256521328
COMBUSTIBLES,CONSUMO,CEM GAS OIL,[Kcal/KWh],2025,1889.0602891601704
COMBUSTIBLES,MEDIO,CEM TOTAL,[Kcal/KWh],2005,1936.5519895498705
COMBUSTIBLES,MEDIO,CEM TOTAL,[Kcal/KWh],2006,2084.58593652891
COMBUSTIBLES,MEDIO,CEM TOTAL,[Kcal/KWh],2007,2114.0895174951484
COMBUSTIBLES,MEDIO,CEM TOTAL,[Kcal/KWh],2008,2161.4940600329323
COMBUSTIBLES,MEDIO,CEM TOTAL,[Kcal/KWh],2009,2187.6534792218636
COMBUSTIBLES,MEDIO,CEM TOTAL,[Kcal/KWh],2010,2080.211720004705
COMBUSTIBLES,MEDIO,CEM TOTAL,[Kcal/KWh],2011,2102.296192934875
COMBUSTIBLES,MEDIO,CEM TOTAL,[Kcal/KWh],2012,2030.7368939691637
COMBUSTIBLES,MEDIO,CEM TOTAL,[Kcal/KWh],2013,2006.1992433196658
COMBUSTIBLES,MEDIO,CEM TOTAL,[Kcal/KWh],2014,2023.8339437299032
COMBUSTIBLES,MEDIO,CEM TOTAL,[Kcal/KWh],2015,2035.0587471088593
COMBUSTIBLES,MEDIO,CEM TOTAL,[Kcal/KWh],2016,2011.8412123539292
COMBUSTIBLES,MEDIO,CEM TOTAL,[Kcal/KWh],2017,1941.6823185885976
COMBUSTIBLES,MEDIO,CEM TOTAL,[Kcal/KWh],2018,1916.4173157568664
COMBUSTIBLES,MEDIO,CEM TOTAL,[Kcal/KWh],2019,1884.5936183378126
COMBUSTIBLES,MEDIO,CEM TOTAL,[Kcal/KWh],2020,1851.3376044528632
COMBUSTIBLES,MEDIO,CEM TOTAL,[Kcal/KWh],2021,1852.001028125215
COMBUSTIBLES,MEDIO,CEM TOTAL,[Kcal/KWh],2022,1901.4394006530658
COMBUSTIBLES,MEDIO,CEM TOTAL,[Kcal/KWh],2023,1886.6704669134988
COMBUSTIBLES,MEDIO,CEM TOTAL,[Kcal/KWh],2024,1856.424517442014
COMBUSTIBLES,MEDIO,CEM TOTAL,[Kcal/KWh],2025,1800.9262565347326
COMBUSTIBLES,Valores físicos,COMBUSTIBLES TOTAL (gas eq),[Mm3/d],2005,32.434183078930204
COMBUSTIBLES,Valores físicos,COMBUSTIBLES TOTAL (gas eq),[Mm3/d],2006,36.66600943900848
COMBUSTIBLES,Valores físicos,COMBUSTIBLES TOTAL (gas eq),[Mm3/d],2007,42.069645955642535
COMBUSTIBLES,Valores físicos,COMBUSTIBLES TOTAL (gas eq),[Mm3/d],2008,47.01853402205309
COMBUSTIBLES,Valores físicos,COMBUSTIBLES TOTAL (gas eq),[Mm3/d],2009,43.78367760580561
COMBUSTIBLES,Valores físicos,COMBUSTIBLES TOTAL (gas eq),[Mm3/d],2010,45.045181864448786
COMBUSTIBLES,Valores físicos,COMBUSTIBLES TOTAL (gas eq),[Mm3/d],2011,50.38035073165695
COMBUSTIBLES,Valores físicos,COMBUSTIBLES TOTAL (gas eq),[Mm3/d],2012,54.38248127570906
COMBUSTIBLES,Valores físicos,COMBUSTIBLES TOTAL (gas eq),[Mm3/d],2013,54.121306143326805
COMBUSTIBLES,Valores físicos,COMBUSTIBLES TOTAL (gas eq),[Mm3/d],2014,54.819217405453365
COMBUSTIBLES,Valores físicos,COMBUSTIBLES TOTAL (gas eq),[Mm3/d],2015,57.312831248401835
COMBUSTIBLES,Valores físicos,COMBUSTIBLES TOTAL (gas eq),[Mm3/d],2016,58.959752314773596
COMBUSTIBLES,Valores físicos,COMBUSTIBLES TOTAL (gas eq),[Mm3/d],2017,56.06542373716894
COMBUSTIBLES,Valores físicos,COMBUSTIBLES TOTAL (gas eq),[Mm3/d],2018,54.83426071461187
COMBUSTIBLES,Valores físicos,COMBUSTIBLES TOTAL (gas eq),[Mm3/d],2019,49.25833061438361
COMBUSTIBLES,Valores físicos,COMBUSTIBLES TOTAL (gas eq),[Mm3/d],2020,49.58085242598895
COMBUSTIBLES,Valores físicos,COMBUSTIBLES TOTAL (gas eq),[Mm3/d],2021,54.408933974344414
COMBUSTIBLES,Valores físicos,COMBUSTIBLES TOTAL (gas eq),[Mm3/d],2022,50.69940295943899
COMBUSTIBLES,Valores físicos,COMBUSTIBLES TOTAL (gas eq),[Mm3/d],2023,44.93309122306588
COMBUSTIBLES,Valores físicos,COMBUSTIBLES TOTAL (gas eq),[Mm3/d],2024,45.52188804293522
COMBUSTIBLES,Valores físicos,COMBUSTIBLES TOTAL (gas eq),[Mm3/d],2025,44.16227416077624
COMBUSTIBLES,Combustible,E. Térmica asociada al uso de combustible,[GWh],2005,51350.65098
COMBUSTIBLES,Combustible,E. Térmica asociada al uso de combustible,[GWh],2006,53928.208461
COMBUSTIBLES,Combustible,E. Térmica asociada al uso de combustible,[GWh],2007,61012.33340999999
COMBUSTIBLES,Combustible,E. Térmica asociada al uso de combustible,[GWh],2008,66876.78845400001
COMBUSTIBLES,Combustible,E. Térmica asociada al uso de combustible,[GWh],2009,61362.89719300001
COMBUSTIBLES,Combustible,E. Térmica asociada al uso de combustible,[GWh],2010,66391.572679
COMBUSTIBLES,Combustible,E. Térmica asociada al uso de combustible,[GWh],2011,73474.97268099998
COMBUSTIBLES,Combustible,E. Térmica asociada al uso de combustible,[GWh],2012,82331.443788
COMBUSTIBLES,Combustible,E. Térmica asociada al uso de combustible,[GWh],2013,82711.587689
COMBUSTIBLES,Combustible,E. Térmica asociada al uso de combustible,[GWh],2014,83048.177488
COMBUSTIBLES,Combustible,E. Térmica asociada al uso de combustible,[GWh],2015,86346.962149
COMBUSTIBLES,Combustible,E. Térmica asociada al uso de combustible,[GWh],2016,90099.48767500001
COMBUSTIBLES,Combustible,E. Térmica asociada al uso de combustible,[GWh],2017,88529.71855
COMBUSTIBLES,Combustible,E. Térmica asociada al uso de combustible,[GWh],2018,87727.15732043063
COMBUSTIBLES,Combustible,E. Térmica asociada al uso de combustible,[GWh],2019,80137.192546
COMBUSTIBLES,Combustible,E. Térmica asociada al uso de combustible,[GWh],2020,82335.80538300003
COMBUSTIBLES,Combustible,E. Térmica asociada al uso de combustible,[GWh],2021,90074.351489
COMBUSTIBLES,Combustible,E. Térmica asociada al uso de combustible,[GWh],2022,81750.89325499999
COMBUSTIBLES,Combustible,E. Térmica asociada al uso de combustible,[GWh],2023,73020.09551
COMBUSTIBLES,Combustible,E. Térmica asociada al uso de combustible,[GWh],2024,75388.194502
COMBUSTIBLES,Combustible,E. Térmica asociada al uso de combustible,[GWh],2025,75224.756131
COMBUSTIBLES,Combustible,Energía generada con BIODIESEL,[GWh],2005,
